Pincode,Taluk
636001,SALEM
636002,SALEM
636003,SALEM
636004,SALEM
636005,SALEM
636006,SALEM
636007,SALEM
636008,SALEM
636009,SALEM
636010,SALEM
636011,SALEM
636012,OMALUR
636013,SALEM
636014,SALEM
636015,SALEM
636016,SALEM
636017,Not available
636018,Not available
636019,Not available
636020,Not available
636021,Not available
636022,Not available
636023,Not available
636024,Not available
636025,Not available
636026,Not available
636027,Not available
636028,Not available
636029,Not available
636030,SALEM
636031,Not available
636032,Not available
636033,Not available
636034,Not available
636035,Not available
636036,Not available
636037,Not available
636038,Not available
636039,Not available
636040,Not available
636041,Not available
636042,Not available
636043,Not available
636044,Not available
636045,Not available
636046,Not available
636047,Not available
636048,Not available
636049,Not available
636050,Not available
636051,Not available
636052,Not available
636053,Not available
636054,Not available
636055,Not available
636056,Not available
636057,Not available
636058,Not available
636059,Not available
636060,Not available
636061,Not available
636062,Not available
636063,Not available
636064,Not available
636065,Not available
636066,Not available
636067,Not available
636068,Not available
636069,Not available
636070,Not available
636071,Not available
636072,Not available
636073,Not available
636074,Not available
636075,Not available
636076,Not available
636077,Not available
636078,Not available
636079,Not available
636080,Not available
636081,Not available
636082,Not available
636083,Not available
636084,Not available
636085,Not available
636086,Not available
636087,Not available
636088,Not available
636089,Not available
636090,Not available
636091,Not available
636092,Not available
636093,Not available
636094,Not available
636095,Not available
636096,Not available
636097,Not available
636098,Not available
636099,Not available
636100,Not available
636101,ATUR
636102,ATUR
636103,SALEM
636104,SALEM
636105,GANGAVALLI
636106,SALEM
636107,ATUR
636108,ATUR
636109,ATUR
636110,GANGAVALLI
636111,VALAPADY
636112,ATUR
636113,GANGAVALLI
636114,ATTUR
636115,VALAPADY
636116,ATUR
636117,ATTUR
636118,RASIPURAM
636119,ATUR
636120,Not available
636121,ATUR
636122,SALEM
636123,Not available
636124,Not available
636125,Not available
636126,Not available
636127,Not available
636128,Not available
636129,Not available
636130,Not available
636131,Not available
636132,Not available
636133,Not available
636134,Not available
636135,Not available
636136,Not available
636137,Not available
636138,SALEM
636139,SALEM
636140,SALEM
636141,ATUR
636142,ATTUR
636143,Not available
636144,Not available
636145,Not available
636146,Not available
636147,Not available
636148,Not available
636149,Not available
636150,Not available
636151,Not available
636152,Not available
636153,Not available
636154,Not available
636155,Not available
636156,Not available
636157,Not available
636158,Not available
636159,Not available
636160,Not available
